date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:41	65759/65759	---M-Z	200	added ('OK')	text/html	etag:%22100df-64146407-8dfcde9e6bc06008;gz%22	https://themedox.com/demo/cycure/index-3.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/index-3.html	(from )
20:32:42	109/109	---M-Z	200	added ('OK')	text/plain	etag:%2212901-1718868680;gz%22	https://themedox.com/robots.txt		(from )
20:32:42	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-64146408-fef4f15d5a869dad;;;%22	https://themedox.com/demo/cycure/assets/img/favicon.png	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/img/favicon.png	(from https://themedox.com/demo/cycure/index-3.html)
20:32:42	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%2228021-64146407-ebfa687823387ac0;gz%22	https://themedox.com/demo/cycure/assets/css/bootstrap.min.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/bootstrap.min.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:42	68601/68601	---M-Z	200	added ('OK')	text/css	etag:%2210bf9-64146407-78f0ee65e482f762;gz%22	https://themedox.com/demo/cycure/assets/css/animate.min.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/animate.min.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:42	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-64146407-2843022a1708f6d6;gz%22	https://themedox.com/demo/cycure/assets/css/magnific-popup.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/magnific-popup.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:43	59251/59251	---M-Z	200	added ('OK')	text/css	etag:%22e773-64146407-46bab449fbc94fc1;gz%22	https://themedox.com/demo/cycure/assets/css/fontawesome-all.min.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/fontawesome-all.min.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:43	3620/3620	---M-Z	200	added ('OK')	text/css	etag:%22e24-64146407-11b45dc1c418257;gz%22	https://themedox.com/demo/cycure/assets/css/odometer.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/odometer.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:43	2553/2553	---M-Z	200	added ('OK')	text/css	etag:%229f9-64146407-a98ac6df4fd5e239;gz%22	https://themedox.com/demo/cycure/assets/css/flaticon.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/flaticon.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:43	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-64146407-cf0249ef53bf97ea;gz%22	https://themedox.com/demo/cycure/assets/css/slick.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/slick.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:43	8636/8636	---M-Z	200	added ('OK')	text/css	etag:%2221bc-64146407-79300774c0b62095;gz%22	https://themedox.com/demo/cycure/assets/css/default.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/default.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:44	62173/62173	---M-Z	200	added ('OK')	text/css	etag:%22f2dd-64146407-6b7eaab7b309b0ca;gz%22	https://themedox.com/demo/cycure/assets/css/style.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/style.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:44	22030/22030	---M-Z	200	added ('OK')	text/css	etag:%22560e-64146407-eaf0cece4aab26ec;gz%22	https://themedox.com/demo/cycure/assets/css/responsive.css	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/css/responsive.css	(from https://themedox.com/demo/cycure/index-3.html)
20:32:44	48232/48232	---M-Z	200	added ('OK')	text/html	etag:%22bc68-64146407-425ccf09b945881a;gz%22	https://themedox.com/demo/cycure/index.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/index.html	(from https://themedox.com/demo/cycure/index-3.html)
20:32:44	7243/7243	---M--	200	added ('OK')	image/png	etag:%221c4b-64146409-ec87cadc0e4e9b63;;;%22	https://themedox.com/demo/cycure/assets/img/logo/logo.png	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/assets/img/logo/logo.png	(from https://themedox.com/demo/cycure/index-3.html)
20:32:45	63674/63674	---M-Z	200	added ('OK')	text/html	etag:%22f8ba-64146407-a8a7153223c615c8;gz%22	https://themedox.com/demo/cycure/index-2.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/index-2.html	(from https://themedox.com/demo/cycure/index-3.html)
20:32:45	39073/39073	---M-Z	200	added ('OK')	text/html	etag:%2298a1-64146406-42a49d9ebb44cd74;gz%22	https://themedox.com/demo/cycure/about-us.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/about-us.html	(from https://themedox.com/demo/cycure/index-3.html)
20:32:45	24339/24339	---M-Z	200	added ('OK')	text/html	etag:%225f13-64146407-292727c51bc9ec1;gz%22	https://themedox.com/demo/cycure/services.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/services.html	(from https://themedox.com/demo/cycure/index-3.html)
20:32:45	19302/19302	---M-Z	200	added ('OK')	text/html	etag:%224b66-64146407-620d425ff31080be;gz%22	https://themedox.com/demo/cycure/services-details.html	C:/Users/mitta/Downloads/Cybersecurity/themedox.com/demo/cycure/services-details.html	(from https://themedox.com/demo/cycure/index-3.html)
